0	0.1	0.01	0.01
0.5	0.1	0.01	0.01
1	0.1	0.02	0.01
1.5	0.1	0.03	0.01
2	0.1	0.04	0.01
2.5	0.1	0.07	0.01
3	0.1	0.12	0.01
3.5	0.1	0.22	0.01
4	0.1	0.35	0.02
4.5	0.1	0.6	0.02
5	0.1	0.9	0.04
5.5	0.1	1.3	0.1
6	0.1	1.65	0.1
6.5	0.1	1.9	0.1
7	0.1	2	0.1
7.5	0.1	1.9	0.1
8	0.1	1.5	0.05
8.5	0.1	1.15	0.05
9	0.1	0.8	0.05
9.5	0.1	0.55	0.05
10	0.1	0.34	0.02
10.5	0.1	0.22	0.01
11	0.1	0.13	0.01
11.5	0.1	0.08	0.01
12	0.1	0.05	0.01
