0	0.1	0.01	0.01
0.5	0.1	0.01	0.01
1	0.1	0.01	0.01
1.5	0.1	0.01	0.01
2	0.1	0.01	0.01
2.5	0.1	0.01	0.01
3	0.1	0.03	0.01
3.5	0.1	0.05	0.01
4	0.1	0.04	0.01
4.5	0.1	0.1	0.01
5	0.1	0.5	0.02
5.1	0.1	0.25	0.01
5.2	0.1	0.3	0.1
5.3	0.1	0.35	0.03
5.4	0.1	0.4	0.02
5.6	0.1	0.5	0.03
5.7	0.1	0.52	0.02
5.8	0.1	0.47	0.02
5.9	0.1	0.47	0.03
6.1	0.1	0.44	0.03
6.2	0.1	0.45	0.03
6.3	0.1	0.5	0.03
6.4	0.1	0.55	0.03
6.6	0.1	0.95	0.05
6.7	0.1	1.35	0.1
6.8	0.1	1.5	0.1
6.9	0.1	2	0.1
7.1	0.1	2.9	0.15
7.2	0.1	3.5	0.2
7.3	0.1	3.8	0.2
7.4	0.1	4.15	0.15
7.6	0.1	3.9	0.2
7.7	0.1	3.7	0.3
7.8	0.1	3.4	0.2
7.9	0.1	2.9	0.1
8.1	0.1	2.2	0.2
8.2	0.1	1.95	0.05
8.3	0.1	1.9	0.2
8.4	0.1	2.15	0.15
8.6	0.1	2.7	0.3
8.7	0.1	2.9	0.2
8.8	0.1	3.3	0.2
8.9	0.1	3.4	0.3
9	0.1	3.8	0.2
9.1	0.1	3.9	0.1
9.2	0.1	3.6	0.2
9.3	0.1	3.3	0.2
9.4	0.1	2.9	0.2
9.5	0.1	2.45	0.15
9.6	0.1	2	0.1
9.7	0.1	1.7	0.1
9.8	0.1	1.2	0.1
9.9	0.1	0.95	0.05
10	0.1	0.7	0.05
10.5	0.1	0.21	0.01
11	0.1	0.25	0.01
11.5	0.1	0.1	0.01
12	0.1	0.02	0.01
12.5	0.1	0.02	0.01
13	0.1	0.01	0.01
13.5	0.1	0.01	0.01
