1450	1.16E-06	2.25E-06	2.86E-06	3.16E-06
1450.4	1.19E-06	2.29E-06	2.92E-06	3.25E-06
1450.8	1.22E-06	2.33E-06	2.98E-06	3.37E-06
1451.2	1.19E-06	2.42E-06	3.02E-06	3.37E-06
1451.6	1.24E-06	2.42E-06	3.11E-06	3.50E-06
1452	1.28E-06	2.50E-06	3.18E-06	3.52E-06
1452.4	1.24E-06	2.55E-06	3.27E-06	3.63E-06
1452.8	1.33E-06	2.53E-06	3.35E-06	3.77E-06
1453.2	1.26E-06	2.68E-06	3.44E-06	3.75E-06
1453.6	1.32E-06	2.71E-06	3.45E-06	3.82E-06
1454	1.35E-06	2.75E-06	3.56E-06	3.99E-06
1454.4	1.36E-06	2.73E-06	3.70E-06	4.10E-06
1454.8	1.35E-06	2.83E-06	3.75E-06	4.14E-06
1455.2	1.39E-06	2.87E-06	3.81E-06	4.24E-06
1455.6	1.45E-06	2.99E-06	3.79E-06	4.38E-06
1456	1.48E-06	2.95E-06	3.94E-06	4.44E-06
1456.4	1.37E-06	3.09E-06	4.03E-06	4.51E-06
1456.8	1.45E-06	3.09E-06	4.13E-06	4.65E-06
1457.2	1.47E-06	3.12E-06	4.28E-06	4.82E-06
1457.6	1.54E-06	3.20E-06	4.36E-06	4.90E-06
1458	1.41E-06	3.33E-06	4.42E-06	5.02E-06
1458.4	1.47E-06	3.31E-06	4.56E-06	5.16E-06
1458.8	1.52E-06	3.43E-06	4.65E-06	5.20E-06
1459.2	1.57E-06	3.52E-06	4.69E-06	5.34E-06
1459.6	1.52E-06	3.56E-06	4.76E-06	5.46E-06
1460	1.54E-06	3.60E-06	4.99E-06	5.61E-06
1460.4	1.58E-06	3.68E-06	5.07E-06	5.68E-06
1460.8	1.56E-06	3.73E-06	5.10E-06	5.87E-06
1461.2	1.59E-06	3.87E-06	5.28E-06	5.99E-06
1461.6	1.68E-06	3.92E-06	5.40E-06	6.15E-06
1462	1.69E-06	4.00E-06	5.51E-06	6.27E-06
1462.4	1.70E-06	3.98E-06	5.60E-06	6.44E-06
1462.8	1.71E-06	4.11E-06	5.72E-06	6.60E-06
1463.2	1.71E-06	4.20E-06	5.88E-06	6.76E-06
1463.6	1.73E-06	4.22E-06	6.00E-06	6.94E-06
1464	1.73E-06	4.33E-06	6.14E-06	7.10E-06
1464.4	1.82E-06	4.49E-06	6.23E-06	7.28E-06
1464.8	1.79E-06	4.53E-06	6.40E-06	7.41E-06
1465.2	1.81E-06	4.60E-06	6.61E-06	7.60E-06
1465.6	1.82E-06	4.68E-06	6.68E-06	7.74E-06
1466	1.86E-06	4.77E-06	6.94E-06	8.01E-06
1466.4	1.90E-06	4.92E-06	7.03E-06	8.16E-06
1466.8	1.86E-06	5.01E-06	7.12E-06	8.35E-06
1467.2	1.79E-06	5.06E-06	7.26E-06	8.55E-06
1467.6	1.87E-06	5.11E-06	7.46E-06	8.69E-06
1468	1.92E-06	5.19E-06	7.62E-06	8.92E-06
1468.4	1.88E-06	5.32E-06	7.75E-06	9.11E-06
1468.8	1.98E-06	5.39E-06	7.91E-06	9.31E-06
1469.2	1.96E-06	5.47E-06	8.09E-06	9.51E-06
1469.6	2.00E-06	5.64E-06	8.27E-06	9.73E-06
1470	1.99E-06	5.70E-06	8.40E-06	9.93E-06
1470.4	1.97E-06	5.77E-06	8.58E-06	1.02E-05
1470.8	2.02E-06	5.90E-06	8.79E-06	1.04E-05
1471.2	2.03E-06	6.01E-06	8.94E-06	1.06E-05
1471.6	2.07E-06	6.04E-06	9.11E-06	1.09E-05
1472	2.13E-06	6.14E-06	9.38E-06	1.12E-05
1472.4	2.10E-06	6.29E-06	9.55E-06	1.14E-05
1472.8	2.12E-06	6.40E-06	9.74E-06	1.17E-05
1473.2	2.08E-06	6.47E-06	1.00E-05	1.19E-05
1473.6	2.15E-06	6.57E-06	1.02E-05	1.23E-05
1474	2.11E-06	6.77E-06	1.04E-05	1.25E-05
1474.4	2.19E-06	6.90E-06	1.06E-05	1.29E-05
1474.8	2.20E-06	6.97E-06	1.08E-05	1.32E-05
1475.2	2.28E-06	7.12E-06	1.11E-05	1.34E-05
1475.6	2.22E-06	7.23E-06	1.14E-05	1.38E-05
1476	2.23E-06	7.28E-06	1.16E-05	1.40E-05
1476.4	2.31E-06	7.43E-06	1.18E-05	1.43E-05
1476.8	2.33E-06	7.53E-06	1.20E-05	1.47E-05
1477.2	2.29E-06	7.72E-06	1.23E-05	1.49E-05
1477.6	2.38E-06	7.90E-06	1.25E-05	1.52E-05
1478	2.35E-06	7.92E-06	1.27E-05	1.57E-05
1478.4	2.33E-06	8.03E-06	1.30E-05	1.60E-05
1478.8	2.36E-06	8.17E-06	1.33E-05	1.63E-05
1479.2	2.39E-06	8.31E-06	1.35E-05	1.67E-05
1479.6	2.39E-06	8.41E-06	1.38E-05	1.70E-05
1480	2.41E-06	8.53E-06	1.40E-05	1.74E-05
1480.4	2.39E-06	8.67E-06	1.43E-05	1.78E-05
1480.8	2.39E-06	8.89E-06	1.46E-05	1.82E-05
1481.2	2.40E-06	8.99E-06	1.49E-05	1.86E-05
1481.6	2.47E-06	9.18E-06	1.53E-05	1.90E-05
1482	2.43E-06	9.27E-06	1.56E-05	1.95E-05
1482.4	2.58E-06	9.47E-06	1.59E-05	1.99E-05
1482.8	2.56E-06	9.57E-06	1.63E-05	2.04E-05
1483.2	2.60E-06	9.75E-06	1.66E-05	2.09E-05
1483.6	2.56E-06	9.89E-06	1.69E-05	2.13E-05
